"lat","lon","numRecords","sppRichness","genRichness","subfamRichness"
-28.5,-176.5,NA,NA,NA,NA
-27.5,-176.5,NA,NA,NA,NA
-26.5,-176.5,NA,NA,NA,NA
-25.5,-176.5,NA,NA,NA,NA
-24.5,-176.5,NA,NA,NA,NA
-23.5,-176.5,NA,NA,NA,NA
-22.5,-176.5,NA,NA,NA,NA
-21.5,-176.5,NA,NA,NA,NA
-20.5,-176.5,NA,NA,NA,NA
-19.5,-176.5,NA,NA,NA,NA
-18.5,-176.5,NA,NA,NA,NA
-17.5,-176.5,NA,NA,NA,NA
-16.5,-176.5,NA,NA,NA,NA
-15.5,-176.5,NA,NA,NA,NA
-14.5,-176.5,NA,NA,NA,NA
-13.5,-176.5,2,2,2,2
-12.5,-176.5,NA,NA,NA,NA
-11.5,-176.5,NA,NA,NA,NA
-10.5,-176.5,NA,NA,NA,NA
-9.5,-176.5,NA,NA,NA,NA
-8.5,-176.5,NA,NA,NA,NA
-7.5,-176.5,NA,NA,NA,NA
-6.5,-176.5,NA,NA,NA,NA
-5.5,-176.5,NA,NA,NA,NA
-4.5,-176.5,NA,NA,NA,NA
-3.5,-176.5,NA,NA,NA,NA
-2.5,-176.5,NA,NA,NA,NA
-1.5,-176.5,NA,NA,NA,NA
-0.5,-176.5,NA,NA,NA,NA
0.5,-176.5,NA,NA,NA,NA
1.5,-176.5,NA,NA,NA,NA
2.5,-176.5,NA,NA,NA,NA
3.5,-176.5,NA,NA,NA,NA
4.5,-176.5,NA,NA,NA,NA
5.5,-176.5,NA,NA,NA,NA
6.5,-176.5,NA,NA,NA,NA
7.5,-176.5,NA,NA,NA,NA
8.5,-176.5,NA,NA,NA,NA
9.5,-176.5,NA,NA,NA,NA
10.5,-176.5,NA,NA,NA,NA
11.5,-176.5,NA,NA,NA,NA
12.5,-176.5,NA,NA,NA,NA
13.5,-176.5,NA,NA,NA,NA
